time,open,high,low,close,volume
2021-01-15 20:00:00,823.95,824.0,823.77,823.77,5546
2021-01-15 19:59:00,823.8,824.0,823.8,824.0,2237
2021-01-15 19:58:00,823.2,823.85,823.1,823.85,2376
2021-01-15 19:57:00,823.19,823.2,823.19,823.2,1291
2021-01-15 19:56:00,823.0,823.2,823.0,823.1,1335
2021-01-15 19:55:00,823.15,823.29,823.0,823.0,3434
2021-01-15 19:53:00,823.56,823.56,823.27,823.27,1487
2021-01-15 19:52:00,823.5,823.5,823.26,823.26,1286
2021-01-15 19:51:00,823.53,823.75,823.53,823.75,958
2021-01-15 19:50:00,823.0,823.2,823.0,823.2,924
2021-01-15 19:49:00,823.1,823.1,823.0,823.0,3471
2021-01-15 19:48:00,823.15,823.3,823.15,823.3,2649
2021-01-15 19:47:00,823.3,823.3,823.15,823.15,1496
2021-01-15 19:46:00,823.5,823.5,823.5,823.5,504
2021-01-15 19:45:00,823.66,823.66,823.66,823.66,552
2021-01-15 19:44:00,823.65,823.65,823.65,823.65,689
2021-01-15 19:43:00,823.78,823.78,823.78,823.78,472
2021-01-15 19:41:00,823.9,823.9,823.9,823.9,543
2021-01-15 19:38:00,823.89,823.9,823.89,823.9,526
2021-01-15 19:37:00,824.0,824.0,824.0,824.0,1457
2021-01-15 19:36:00,824.1,824.1,824.0,824.0,765
2021-01-15 19:35:00,824.0,824.0,824.0,824.0,1232
2021-01-15 19:34:00,824.0,824.0,824.0,824.0,221
2021-01-15 19:28:00,823.51,823.51,823.51,823.51,2450
2021-01-15 19:27:00,824.2,824.2,824.0,824.0,1834
2021-01-15 19:25:00,824.5,824.5,824.2,824.2,548
2021-01-15 19:23:00,824.39,824.6,824.39,824.4,1742
2021-01-15 19:22:00,824.79,824.79,824.51,824.51,1423
2021-01-15 19:21:00,824.79,824.79,824.79,824.79,576
2021-01-15 19:20:00,824.66,824.66,824.5,824.5,2232
2021-01-15 19:19:00,824.75,824.75,824.63,824.63,661
2021-01-15 19:18:00,824.3,824.3,824.3,824.3,327
2021-01-15 19:17:00,824.27,824.27,824.27,824.27,504
2021-01-15 19:16:00,824.38,824.75,824.38,824.61,3628
