index,date
355,2020-06-26
356,2020-06-29
357,2020-06-30
358,2020-07-01
359,2020-07-02
360,2020-07-06
361,2020-07-07
362,2020-07-08
363,2020-07-09
364,2020-07-10
365,2020-07-13
366,2020-07-14
367,2020-07-15
368,2020-07-16
369,2020-07-17
370,2020-07-20
371,2020-07-21
372,2020-07-22
373,2020-07-23
374,2020-07-24
375,2020-07-27
376,2020-07-28
377,2020-07-29
378,2020-07-30
379,2020-07-31
380,2020-08-03
381,2020-08-04
382,2020-08-05
383,2020-08-06
384,2020-08-07
385,2020-08-10
386,2020-08-11
387,2020-08-12
388,2020-08-13
389,2020-08-14
390,2020-08-17
391,2020-08-18
392,2020-08-19
393,2020-08-20
394,2020-08-21
395,2020-08-24
396,2020-08-25
397,2020-08-26
398,2020-08-27
399,2020-08-28
400,2020-08-31
401,2020-09-01
402,2020-09-02
403,2020-09-03
404,2020-09-04
405,2020-09-08
406,2020-09-09
407,2020-09-10
408,2020-09-11
409,2020-09-14
410,2020-09-15
411,2020-09-16
412,2020-09-17
413,2020-09-18
414,2020-09-21
415,2020-09-22
416,2020-09-23
417,2020-09-24
418,2020-09-25
419,2020-09-28
420,2020-09-29
421,2020-09-30
422,2020-10-01
423,2020-10-02
424,2020-10-05
425,2020-10-06
426,2020-10-07
427,2020-10-08
428,2020-10-09
429,2020-10-12
430,2020-10-13
431,2020-10-14
432,2020-10-15
433,2020-10-16
434,2020-10-19
435,2020-10-20
436,2020-10-21
437,2020-10-22
438,2020-10-23
439,2020-10-26
440,2020-10-27
441,2020-10-28
442,2020-10-29
443,2020-10-30
444,2020-11-02
445,2020-11-03
446,2020-11-04
447,2020-11-05
448,2020-11-06
449,2020-11-09
450,2020-11-10
451,2020-11-11
452,2020-11-12
453,2020-11-13
454,2020-11-16
455,2020-11-17
456,2020-11-18
457,2020-11-19
458,2020-11-20
459,2020-11-23
460,2020-11-24
461,2020-11-25
462,2020-11-27
463,2020-11-30
464,2020-12-01
465,2020-12-02
466,2020-12-03
467,2020-12-04
468,2020-12-07
469,2020-12-08
470,2020-12-09
471,2020-12-10
472,2020-12-11
473,2020-12-14
474,2020-12-15
475,2020-12-16
476,2020-12-17
477,2020-12-18
478,2020-12-21
479,2020-12-22
480,2020-12-23
481,2020-12-24
482,2020-12-28
483,2020-12-29
484,2020-12-30
485,2020-12-31
486,2021-01-04
487,2021-01-05
488,2021-01-06
489,2021-01-07
490,2021-01-08
491,2021-01-11
492,2021-01-12
493,2021-01-13
494,2021-01-14
495,2021-01-15
