open,high,low,close,volume,diff,Volatility
852.98,853.25,852.98,853.25,3460,0.2699999999999818,1.2079600000000028
852.75,853.0,852.75,852.85,4066,0.25,0.523960000000011
853.2,853.2,852.5,852.8,5050,0.7000000000000455,0.36396000000002005
853.43,853.45,853.25,853.25,3859,0.20000000000004547,0.31396000000002006
853.5,853.5,853.5,853.5,1805,0.0,0.2840000000000146
853.79,853.89,853.2,853.29,3619,0.6899999999999409,0.3680000000000064
853.6,853.9,853.35,853.8,5043,0.5499999999999545,0.42799999999999727
853.43,854.25,853.43,854.25,9650,0.82000000000005,0.4519999999999982
852.75,853.43,852.57,853.0,15941,0.8599999999999,0.5839999999999691
852.96,852.96,852.85,852.85,2106,0.11000000000001364,0.6059999999999718
852.9,852.93,852.67,852.67,2621,0.2599999999999909,0.5199999999999818
852.97,852.97,852.9,852.97,2761,0.07000000000005002,0.42400000000000093
852.75,852.9,852.5,852.65,3906,0.39999999999997726,0.33999999999998637
852.89,853.0,852.89,852.9,3300,0.11000000000001364,0.1900000000000091
852.85,852.85,852.79,852.85,4793,0.06000000000005912,0.1800000000000182
852.39,853.0,852.39,853.0,6151,0.6100000000000136,0.25000000000002276
852.0,852.0,851.55,852.0,5467,0.4500000000000455,0.32600000000002183
852.11,852.11,851.0,852.04,13977,1.1100000000000136,0.4680000000000291
853.12,853.12,852.23,852.23,6453,0.8899999999999864,0.6240000000000236
852.75,853.34,852.75,853.34,3827,0.5900000000000318,0.7300000000000182
853.13,853.13,852.5,852.75,2767,0.6299999999999955,0.7340000000000145
853.15,853.15,852.23,853.0,15955,0.9199999999999591,0.8279999999999973
853.5,853.5,853.02,853.15,4906,0.4800000000000182,0.7019999999999982
854.11,854.11,853.5,853.5,6075,0.6100000000000136,0.6460000000000037
854.3,854.42,854.3,854.4,3604,0.12000000000000455,0.5519999999999982
854.4,854.4,854.0,854.0,4714,0.39999999999997726,0.5059999999999946
854.42,854.42,854.0,854.42,2187,0.4199999999999591,0.40599999999999453
853.57,854.55,853.57,854.5,3634,0.9799999999999045,0.5059999999999718
854.0,854.04,853.55,853.55,4485,0.4900000000000091,0.4819999999999709
853.7,854.0,853.7,854.0,4638,0.2999999999999545,0.5179999999999609
853.0,853.72,853.0,853.7,4338,0.7200000000000273,0.5819999999999709
852.61,854.0,852.3,853.06,12496,1.7000000000000455,0.8379999999999882
